trigger,match_type,promote_url,promote_rank,promote_level,rule_applied,source,target_current_rank,current_top_result,priority,promotion_needed,disambiguated
2d studio art,exact,https://www.arizona.edu/degree-search/majors/studio-art-two-dimensional-emphasis,1,BASE,Rule 2 — specific entity (kept),ahrefs,absent,https://cfa.arizona.edu/,"P2 relevant buried, target absent",yes,
3d art class,exact,https://www.arizona.edu/degree-search/majors/studio-art-3d-and-extended-media-emphasis,1,BASE,Rule 2 — specific entity (kept),ahrefs,absent,https://cfa.arizona.edu/,"P2 relevant buried, target absent",yes,
3d art degree,exact,https://www.arizona.edu/degree-search/majors/studio-art-3d-and-extended-media-emphasis,1,BASE,Rule 2 — specific entity (kept),ahrefs,absent,https://cfa.arizona.edu/,"P2 relevant buried, target absent",yes,
3d studio art,exact,https://www.arizona.edu/degree-search/majors/studio-art-3d-and-extended-media-emphasis,1,BASE,Rule 2 — specific entity (kept),ahrefs,absent,https://cfa.arizona.edu/,"P2 relevant buried, target absent",yes,
accounting,exact,https://www.arizona.edu/degree-search/majors/accounting,1,BASE,Rule 2 — family multi-promote,metadata,absent,https://eller.arizona.edu/,"P2 relevant buried, target absent",yes,
accounting,exact,https://www.arizona.edu/degree-search/majors/accounting-bsba,2,UG,Rule 2 — family multi-promote,metadata,absent,https://eller.arizona.edu/,"P2 relevant buried, target absent",yes,
accounting,exact,https://www.arizona.edu/degree-search/majors/accounting-ma,3,GRAD,Rule 2 — family multi-promote,metadata,absent,https://eller.arizona.edu/,"P2 relevant buried, target absent",yes,
accounting,exact,https://www.arizona.edu/degree-search/majors/accounting-ms,4,GRAD,Rule 2 — family multi-promote,metadata,absent,https://eller.arizona.edu/,"P2 relevant buried, target absent",yes,
accounting,exact,https://www.arizona.edu/degree-search/majors/accounting-gc,5,CERT,Rule 2 — family multi-promote,metadata,absent,https://eller.arizona.edu/,"P2 relevant buried, target absent",yes,
accounting graduate certificate,exact,https://www.arizona.edu/degree-search/majors/accounting-gc,1,CERT,Rule 2 — specific entity (kept),metadata,absent,https://eller.arizona.edu/,"P2 relevant buried, target absent",yes,yes
accounting ma,exact,https://www.arizona.edu/degree-search/majors/accounting-ma,1,GRAD,Rule 2 — specific entity (kept),metadata,absent,https://eller.arizona.edu/,"P2 relevant buried, target absent",yes,yes
accounting ms,exact,https://www.arizona.edu/degree-search/majors/accounting-ms,1,GRAD,Rule 2 — specific entity (kept),metadata,absent,https://eller.arizona.edu/,"P2 relevant buried, target absent",yes,yes
administration and management of american indian natural resources graduate,exact,https://www.arizona.edu/degree-search/majors/administration-and-management-of-american-indian-natural-resources,1,BASE,Rule 2 — REVIEW: specific term on base page,metadata,absent,https://eller.arizona.edu/,"P2 relevant buried, target absent",yes,
adult-gerontology acute care nurse practitioner,exact,https://www.arizona.edu/degree-search,1,HUB,Rule 1 — generic → DS home (no family),metadata,4,https://nursing.arizona.edu/,"P2 target present, buried",yes,
advanced clinical pharmacy practice,exact,https://www.arizona.edu/degree-search,1,HUB,Rule 1 — generic → DS home (no family),metadata,2,https://www.pharmacy.arizona.edu/,"P2 target present, buried",yes,
advanced transportation engineering,exact,https://www.arizona.edu/degree-search,1,HUB,Rule 1 — generic → DS home (no family),metadata,absent,https://engineering.arizona.edu/index,"P2 relevant buried, target absent",yes,
aerospace engineering,exact,https://www.arizona.edu/degree-search/majors/aerospace-engineering,1,BASE,Rule 2 — family multi-promote,metadata,absent,https://engineering.arizona.edu/index,"P2 relevant buried, target absent",yes,
