Keyphrase,Site-Search Results,Site-Search Top Position,Site-Search Top URL,Ahrefs Volume (US),Global Volume,Keyword Difficulty,CPC (USD),Clicks,Traffic Potential,Parent Topic,Ahrefs Data
maps,20,1,https://southernocean.arizona.edu/content/maps,7850000,50230000,96,0.1,470846,1650000,google maps,yes
zoom,20,1,https://medicineit.arizona.edu/resources/zoom,5010000,17400000,94,0.45,4209912,2730000,zoom,yes
AI,20,1,https://ucatt.arizona.edu/events/learning-and-ai,2930000,14920000,95,0.8,1290131,325000,ai,yes
map,20,1,https://map.arizona.edu/,2330000,9810000,70,0.04,209680,1630000,google maps,yes
calendar,20,1,https://news.arizona.edu/calendar,2210000,4310000,89,0.45,1040902,291000,calendar,yes
fafsa,20,1,https://startnow.arizona.edu/pay-for-college/fafsa,2190000,2250000,58,2.0,2317523,2250000,fafsa,yes
email,20,1,https://marcom.arizona.edu/applying-brand/email,1940000,9750000,97,0.5,659955,1530000,email,yes
Food,20,1,https://union.arizona.edu/,1790000,2680000,90,0.5,536663,48000,food,yes
music,20,1,https://www.arizona.edu/degree-search/majors/music-dma,1070000,2220000,96,0.15,450848,2220000,youtube music,yes
adobe,20,1,https://coh-it.arizona.edu/purchase_req/adobe-cs-media-macwindows-no-activation-required,832000,3130000,59,3.0,790271,831000,adobe,yes
sports,21,1,https://arizonawildcats.com/,805000,1710000,96,0.25,136869,6920000,espn,yes
basketball,22,1,https://arizonawildcats.com/sports/mens-basketball,794000,1490000,92,0.2,206475,108000,basketball,yes
finance,20,1,https://eller.arizona.edu/,685000,1450000,81,0.25,301473,246000,finance,yes
jobs,20,1,https://sgpp.arizona.edu/events/career-workshop-jobinternship-search,682000,1450000,1,0.25,545818,997000,indeed jobs,yes
compass,20,1,https://compass.arizona.edu/communications-and-marketing/meet-team,627000,2010000,70,0.15,225718,51000,compass,yes
vpn,20,1,https://hpcdocs.hpc.arizona.edu/registration_and_access/vpn/,626000,5400000,86,5.0,450669,246000,vpn,yes
IT,21,1,https://it.arizona.edu/,622000,2100000,79,0.15,236489,41000,it movie,yes
history,20,1,https://history.arizona.edu/,605000,1280000,76,0.07,211829,156000,history,yes
handshake,20,1,https://ur.arizona.edu/find-research/handshake,575000,659000,61,1.6,517402,464000,handshake,yes
gpa calculator,20,1,https://advising.arizona.edu/online-tools/gpa-calculator,550000,777000,54,0.04,682611,695000,gpa calculator,yes
baseball,22,1,https://arizonawildcats.com/sports/baseball,521000,719000,89,0.3,177133,40000,baseball,yes
project management,20,1,https://eller.arizona.edu/,431000,736000,88,1.7,241222,93000,pmi,yes
resume,20,1,https://theacenter.arizona.edu/resume,427000,1340000,88,2.5,260631,259000,resume,yes
Brightspace,20,1,https://d2l.arizona.edu/d2l/loginh/,424000,1660000,31,1.9,390071,6500,brightspace login,yes
Star Wars,20,1,https://research.arizona.edu/star-wars-science,371000,1490000,88,0.06,218923,58000,star wars,yes
space,20,1,https://news.arizona.edu/news/space,359000,965000,88,0.2,172318,53000,space,yes
sharepoint,20,1,https://uarizona.service-now.com/sp?id=kb_article_view&sysparm_article=KB0011501,345000,1680000,52,0.05,231370,326000,sharepoint,yes
box,20,1,https://uarizona.service-now.com/sp?id=sc_cat_item&sys_id=532f23ed1bfc30107947edf1604bcb85,342000,1110000,66,0.1,280196,229000,box,yes
