Keyphrase,Address,Position,Title,URL,Ahrefs Volume (US),Global Volume,Keyword Difficulty,CPC (USD),Clicks,Traffic Potential,Parent Topic
24/7,https://www.arizona.edu/search/ua?keys=24/7,1,24/7 Support Center | University Information Technology Services University Information Technology Services,https://it.arizona.edu/node/627,15000,78000,80,0.1,4976,136000,247 sports
24/7,https://www.arizona.edu/search/ua?keys=24/7,2,24/7 Support | University Information Technology Services University Information Technology Services,https://it.arizona.edu/support/247-support-center,15000,78000,80,0.1,4976,136000,247 sports
24/7,https://www.arizona.edu/search/ua?keys=24/7,3,24/7 Support | University Information Technology Services,https://it.arizona.edu/support/247-support-center,15000,78000,80,0.1,4976,136000,247 sports
24/7,https://www.arizona.edu/search/ua?keys=24/7,4,24/7 Support Center - Service Portal uarizona,https://uarizona.service-now.com/sp?id=sc_cat_item&sys_id=41a83171dbe96054c72d5eea4b961932,15000,78000,80,0.1,4976,136000,247 sports
24/7,https://www.arizona.edu/search/ua?keys=24/7,5,24/7 IT Support Center Moved to Slonaker House | University of Arizona News University of Arizona News,https://news.arizona.edu/uannounce/247-it-support-center-moved-slonaker-house,15000,78000,80,0.1,4976,136000,247 sports
24/7,https://www.arizona.edu/search/ua?keys=24/7,6,24/7 Drop-Off Service | University of Arizona News University of Arizona News,https://news.arizona.edu/uannounce/247-drop-service,15000,78000,80,0.1,4976,136000,247 sports
24/7,https://www.arizona.edu/search/ua?keys=24/7,7,24/7 Lounge Opening in Student Success District August 2 | University Information Technology Services University Information Technology Services,https://it.arizona.edu/news/247-lounge-opening-student-success-district-august-2,15000,78000,80,0.1,4976,136000,247 sports
24/7,https://www.arizona.edu/search/ua?keys=24/7,8,24/7 Lounge Opening in Student Success District August 2 | University of Arizona News University of Arizona News,https://news.arizona.edu/uannounce/247-lounge-opening-student-success-district-august-2,15000,78000,80,0.1,4976,136000,247 sports
24/7,https://www.arizona.edu/search/ua?keys=24/7,9,24/7 Hours During 2021 Closure | University Information Technology Services University Information Technology Services,https://it.arizona.edu/news/247-hours-during-2021-closure,15000,78000,80,0.1,4976,136000,247 sports
24/7,https://www.arizona.edu/search/ua?keys=24/7,10,24/7 IT Support Center Moving October 24 | University of Arizona News University of Arizona News,https://news.arizona.edu/uannounce/247-it-support-center-moving-october-24,15000,78000,80,0.1,4976,136000,247 sports
